blade station,x1,x2,x3,airfoil,pitch axis,chord,twist,root buildup height,spar cap base,spar cap height,shear web 1 base biax,shear web 1 base foam,shear web 2 base biax,shear web 2 base foam,shear web 3 base biax,shear web 3 base foam,TE reinf base,TE reinf height uniax,TE reinf height foam,LE panel height,aft panel height,internal surface triax,internal surface resin,external surface triax,external surface gelcoat,comment
1,0,0,0,Cylinder,0.5,5.694,13.308,0.16,,,,,,,,,,,,,,0.005,0.005,0.005,0.0006,
2,0.5,0,0,Cylinder,0.5,5.694,13.308,0.14,1.5,0.013,,,,,,,1,0.001,,,,0.005,0.005,0.005,0.0006,
3,0.7,0,0,SNL-100m-0pt007,0.5,5.694,13.308,0.12,1.5,0.013,,,,,,,1,0.002,,,,0.005,0.005,0.005,0.0006,
4,0.9,0,0,SNL-100m-0pt009,0.5,5.694,13.308,0.1,1.5,0.013,,,,,,,1,0.003,,,,0.005,0.005,0.005,0.0006,
5,1.1,0,0,SNL-100m-0pt011,0.5,5.694,13.308,0.08,1.5,0.013,,,,,,,1,0.005,,,,0.005,0.005,0.005,0.0006,
6,1.3,0,0,SNL-100m-Ellipse97,0.5,5.694,13.308,0.07,1.5,0.013,,,,,,,1,0.007,,0.001,0.001,0.005,0.005,0.005,0.0006,
7,2.4,0,0,SNL-100m-Ellipse93pt1,0.499,5.792,13.308,0.063,1.5,0.013,0.003,0.08,0.003,0.08,,,1,0.008,,0.0035,0.0035,0.005,0.005,0.005,0.0006,main shear webs begin
8,2.6,0,0,SNL-100m-Ellipse92pt5,0.498,5.811,13.308,0.055,1.5,0.013,0.003,0.08,0.003,0.08,,,1,0.009,,0.013,0.013,0.005,0.005,0.005,0.0006,
9,4.7,0,0,SNL-100m-Transition84,0.483,6.058,13.308,0.04,1.5,0.02,0.003,0.08,0.003,0.08,,,1,0.013,,0.03,0.1,0.005,0.005,0.005,0.0006,
10,6.8,0,0,SNL-100m-Transition76,0.468,6.304,13.308,0.025,1.5,0.03,0.003,0.08,0.003,0.08,,,1,0.018,,0.05,0.1,0.005,0.005,0.005,0.0006,
11,8.9,0,0,SNL-100m-Transition68,0.453,6.551,13.308,0.015,1.5,0.051,0.003,0.08,0.003,0.08,,,1,0.025,0.06,0.06,0.1,0.005,0.005,0.005,0.0006,transition
12,11.4,0,0,SNL-100m-Transition60,0.435,6.835,13.308,0.005,1.5,0.068,0.003,0.08,0.003,0.08,,,1,0.033,0.06,0.06,0.1,0.005,0.005,0.005,0.0006,
13,14.6,0,0,SNL-100m-Transition51,0.41,7.215,13.308,,1.5,0.094,0.003,0.08,0.003,0.08,0.003,0.08,1,0.04,0.06,0.06,0.1,0.005,0.005,0.005,0.0006,third shear web begins
14,16.3,0,0,SNL-100m-Transition47,0.4,7.404,13.177,,1.5,0.111,0.003,0.08,0.003,0.08,0.003,0.08,1,0.05,0.06,0.06,0.06,0.005,0.005,0.005,0.0006,
15,17.9,0,0,SNL-100m-Transition43pt5,0.39,7.552,13.046,,1.5,0.119,0.003,0.08,0.003,0.08,0.003,0.08,1,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.0006,
16,19.5,0,0,DU99-W-405,0.38,7.628,12.915,,1.5,0.136,0.003,0.08,0.003,0.08,0.003,0.08,1,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.0006,maximum chord
17,22.2,0,0,DU99-W-405_38,0.378,7.585,12.133,,1.5,0.136,0.003,0.08,0.003,0.08,0.003,0.08,1,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.0006,
18,24.9,0,0,DU99-W-350_36,0.377,7.488,11.35,,1.5,0.136,0.003,0.08,0.003,0.08,0.003,0.08,1,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.0006,
